track,skill,difficulty,domain_code,topic_name,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,source_reference
GENERAL_ENGLISH,READING,INTERMEDIATE,,,"Online learning offers flexibility, but students must manage their time effectively. What challenge is mentioned?",Finding a classroom,Managing time,Buying a computer,Learning mathematics,B,Effective time management is explicitly identified.,AeroESP General English v1
GENERAL_ENGLISH,READING,INTERMEDIATE,,,"Although the first experiment failed, the researchers modified the procedure and obtained better results. What happened after the failure?",The project ended,The procedure was modified,The researchers changed universities,The data were deleted,B,They modified the procedure after the initial failure.,AeroESP General English v1
GENERAL_ENGLISH,READING,INTERMEDIATE,,,Public transport can reduce traffic congestion when a large number of commuters use it instead of private cars. What is the main idea?,Private cars are always faster,Public transport may reduce congestion,Commuters dislike buses,Roads should be closed,B,The sentence explains the potential congestion benefit.,AeroESP General English v1
GENERAL_ENGLISH,READING,INTERMEDIATE,,,The company introduced flexible working hours to improve employee satisfaction. Why were flexible hours introduced?,To reduce salaries,To improve satisfaction,To close the company,To increase travel,B,Improved employee satisfaction is the stated purpose.,AeroESP General English v1
GENERAL_ENGLISH,READING,INTERMEDIATE,,,"Renewable energy technologies often have high initial costs, but their operating costs may be lower over time. Which statement is supported?",They always have low initial costs,They may become economical over time,They require no maintenance,They cannot generate electricity,B,Lower operating costs may offset higher initial costs.,AeroESP General English v1
GENERAL_ENGLISH,LISTENING,BASIC,,,Listening transcript: 'The meeting starts at nine thirty.' What time does the meeting start?,8:30,9:00,9:30,10:30,C,The speaker states nine thirty.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,BASIC,,,Listening transcript: 'Please send the report by Friday.' When is the report due?,Monday,Wednesday,Friday,Sunday,C,The speaker says the report is due Friday.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,BASIC,,,Listening transcript: 'My office is on the second floor.' Where is the office?,First floor,Second floor,Third floor,Ground floor,B,The speaker says second floor.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,BASIC,,,Listening transcript: 'The flight has been delayed by twenty minutes.' What happened?,The flight was cancelled,The flight was delayed,The flight arrived early,The flight changed destination,B,The speaker explicitly mentions a delay.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,BASIC,,,Listening transcript: 'Turn left after the bank.' What should the listener do?,Turn right before the bank,Turn left after the bank,Stop at the bank,Go back home,B,The direction given is to turn left after the bank.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,INTERMEDIATE,,,"Listening transcript: 'Despite the bad weather, the conference will continue as planned.' What will happen?",The conference will be cancelled,The conference will continue,The weather will improve,The venue will close,B,The speaker says the conference will continue.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,INTERMEDIATE,,,Listening transcript: 'I'd rather submit the assignment electronically than print it.' What does the speaker prefer?,Printing the assignment,Submitting it electronically,Cancelling the assignment,Submitting it late,B,The speaker prefers electronic submission.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,INTERMEDIATE,,,Listening transcript: 'The laboratory will remain closed until the equipment inspection is completed.' Why is the laboratory closed?,There are no students,An inspection must be completed,The building was sold,The experiment succeeded,B,The closure continues until equipment inspection is complete.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,INTERMEDIATE,,,Listening transcript: 'You don't need to attend in person; joining online is acceptable.' What is allowed?,Only in-person attendance,Online attendance,No attendance,Only written attendance,B,The speaker explicitly allows online participation.,AeroESP General English v1 transcript item
GENERAL_ENGLISH,LISTENING,INTERMEDIATE,,,Listening transcript: 'The deadline was extended because several students had technical problems.' Why was the deadline extended?,The exam was easy,Students requested a holiday,Several students had technical problems,The teacher was absent,C,Technical problems are stated as the reason.,AeroESP General English v1 transcript item
